NUM_STATION,THROUGHPUT,SUCCESS_RATE,NUM_TX,ALPHA,FAIL_COUNT,TX_TRY,AVG_OCW
1,15.881082454580108,100.0,100000.0,1.0,0.0,1.0,8.0
2,25.80008258162877,88.05487441320369,184496.08,1.0,0.1356547121073889,1.88,9.294773921034746
3,32.16165036208869,79.50285890725696,254727.14,1.0,0.25781751623510574,2.48,10.762423185303897
4,36.46491551264134,73.00795360725759,314502.9,1.0,0.3697118956838462,3.34,12.246568575005597
5,39.522090585694315,67.84495595948236,366810.6,1.0,0.47395021228019907,3.82,13.689840473742438
6,41.772598780332864,63.5663833156814,413793.46,1.0,0.5731598081925479,4.34,15.068264691875624
7,43.460837250667,59.93653983998866,456589.64,1.0,0.6684329286571912,4.68,16.387597172825064
8,44.76858404268835,56.78611868887446,496421.58,1.0,0.7610013836414409,5.3,17.642741557955606
9,45.746420404014735,53.988164741404006,533553.72,1.0,0.8522614364762142,5.22,18.84290593957603
10,46.511462965315715,51.50826071272796,568594.82,1.0,0.9414352787076455,6.04,19.984984001917955
11,47.104472112819224,49.25847072138915,602144.88,1.0,1.0301046061223247,5.98,21.08039739043357
12,47.5343761910812,47.21714316807814,633910.26,1.0,1.1178663039695964,6.5,22.133197096593893
13,47.84672214458139,45.334113897116616,664579.2,1.0,1.2058414366579224,7.02,23.143687119324298
14,48.046382289416854,43.59324695371325,694002.8,1.0,1.2939377443568743,6.86,24.122274903586586
15,48.158594841824424,41.97560271264274,722431.38,1.0,1.3823443166157592,8.04,25.062036874212122
16,48.227001016389266,40.47652327767849,750251.48,1.0,1.4705750595494147,8.22,25.96585151893676
17,48.19205310633972,39.06323591982835,776831.84,1.0,1.5599456230506408,8.2,26.85077958261928
18,48.13465252191589,37.73396513770124,803239.66,1.0,1.6501438966677255,8.42,27.704321458275373
19,48.02744886291449,36.49287564804651,828707.42,1.0,1.7402692085017164,8.64,28.521113831140482
20,47.909992377080414,35.32802196188002,853938.6,1.0,1.8306246332983045,9.02,29.31171516622674
21,47.71940350654299,34.200284184453295,878587.7,1.0,1.92394864341545,8.86,30.090017272482786
22,47.51778681234913,33.14543306582439,902718.4,1.0,2.017020634961608,9.16,30.83917833238458
23,47.27339918688856,32.13266459104764,926381.38,1.0,2.112104864389395,9.5,31.575626699018077
24,47.02702960233769,31.1802551805137,949702.68,1.0,2.2071937597575224,10.04,32.277206059943275
25,46.74708740947783,30.25817496430849,972818.18,1.0,2.304894840850998,10.28,32.971753895718535
26,46.43337250667005,29.373584683513307,995389.6,1.0,2.404417516961498,10.42,33.65026107732326
27,46.11463600559013,28.53410168829503,1017640.44,1.0,2.504559718983802,10.88,34.307634968947895
28,45.79832931012577,27.735382294623488,1039765.28,1.0,2.6054969069325598,10.94,34.941263484831886
29,45.456060221064654,26.959917251687912,1061678.58,1.0,2.7092170303570087,11.62,35.563380168234694
30,45.10091475034938,26.217873037139103,1083197.76,1.0,2.8141513755807206,10.98,36.174531450480416
31,44.73522741710076,25.502137722042853,1104569.02,1.0,2.9212035731470958,11.62,36.77038494560537
32,44.37056282556219,24.81458930717988,1125920.2,1.0,3.029908968242141,11.86,37.3425759220652
33,43.990862025155636,24.15349890179817,1146838.5,1.0,3.1401664231854367,11.9,37.90751115817384
34,43.60045102274171,23.515124047495,1167517.78,1.0,3.2526428296451377,12.4,38.46095110591391
35,43.21390865201372,22.899008125760197,1188301.6,1.0,3.3670059599594953,12.16,39.000285149293795
36,42.818469698894695,22.30506291845849,1208780.78,1.0,3.4832855055772267,12.74,39.525084957579374
37,42.42497776648456,21.734886688305515,1229091.24,1.0,3.600923302685226,12.98,40.03503841383871
38,41.99700800406556,21.168994559085842,1249217.24,1.0,3.723900893094877,13.34,40.548699828329006
39,41.590153728878164,20.63024824691776,1269421.62,1.0,3.84729564999961,13.18,41.03711378224622
40,41.18654237072799,20.11422156527393,1289353.32,1.0,3.9716157086934403,13.74,41.517226957417506
41,40.76537924024901,19.605604856163257,1309275.6,1.0,4.100597007294293,13.82,41.99016210663653
42,40.34442256384195,19.116521015913733,1328906.64,1.0,4.231061606583632,14.24,42.45143644154905
43,39.91855228052345,18.63774470185865,1348656.22,1.0,4.365432598227777,14.24,42.90309167204663
44,39.51886672595602,18.186841836942662,1368254.9,1.0,4.4984914878826014,14.74,43.33646280627438
45,39.084811332740436,17.732980355254888,1387861.58,1.0,4.639245433828518,14.7,43.77159425112391
46,38.64612819209758,17.294504252958475,1407076.36,1.0,4.782197073677078,14.8,44.200774709026426
47,38.23753970270613,16.879053861421635,1426466.86,1.0,4.924507540170318,15.5,44.61102927585402
48,37.81380701308601,16.46839304723591,1445835.98,1.0,5.072296323157012,15.56,45.01424489467352
49,37.3829024266294,16.06832221732433,1464948.52,1.0,5.223487167793246,15.88,45.41165012064181
50,36.94652521915894,15.675060454002626,1484172.02,1.0,5.379482620240696,16.0,45.80826924862339
51,36.534392072163634,15.303929956529105,1503207.08,1.0,5.534267568315726,16.02,46.181072071789565
52,36.115141024012196,14.938253505003495,1522331.84,1.0,5.694228430998364,16.14,46.55500360678469
53,35.68274679202134,14.575494993682009,1541540.16,1.0,5.860856526170669,16.74,46.92840558943995
54,35.262558760005085,14.22918813990515,1560463.26,1.0,6.027810184185285,16.9,47.28085808043158
55,34.842745521534745,13.892178553209067,1579289.84,1.0,6.198387787715521,17.24,47.63167344167774
56,34.43472875111168,13.56720383003776,1598181.54,1.0,6.370743747411244,17.18,47.972052027828575
57,34.00599352051835,13.240930063337027,1617174.28,1.0,6.552304635185163,17.54,48.31094037838441
58,33.583756828865454,12.928040911679838,1635748.0,1.0,6.735102719421759,17.54,48.64455045181353
59,33.16710392580359,12.622245400559416,1654591.48,1.0,6.922624458233259,18.08,48.96977700946773
60,32.754840553932155,12.3257547887896,1673330.92,1.0,7.113000385278439,18.68,49.284829223458246
61,32.340439588362344,12.033845399534874,1692237.56,1.0,7.309815991593428,18.4,49.59844573138343
62,31.939146868250546,11.754761543737189,1710918.54,1.0,7.507065867222085,19.04,49.90009213038427
63,31.510351289543888,11.472634712647853,1729457.6,1.0,7.716351137171721,18.48,50.20485947657588
64,31.114111929869136,11.206668945720113,1748238.66,1.0,7.923240661960529,19.28,50.494988086672166
65,30.713794308220052,10.945367306411537,1766944.88,1.0,8.136278321227028,19.62,50.78083526459103
66,30.314210392580364,10.688918489896228,1785797.94,1.0,8.35534237342957,19.26,51.062230642079676
67,29.908906111040515,10.43771803742831,1804325.28,1.0,8.580429795273787,19.78,51.340723277602876
68,29.509509592173803,10.193239697620783,1822928.3,1.0,8.81028644284611,19.66,51.61199561086675
69,29.11570321433109,9.955097426254845,1841626.6,1.0,9.045140607722182,20.08,51.8759387324977
70,28.725936983864816,9.723444872207589,1860261.12,1.0,9.284417299292521,20.26,52.13636585035963
71,28.337781095159443,9.496938747165332,1878892.98,1.0,9.529744217564442,20.7,52.390496523976736
72,27.95777537796976,9.277154781966846,1897612.98,1.0,9.779100685188018,20.88,52.63786781126402
73,27.567701054503882,9.058521785969393,1916298.14,1.0,10.039063115162286,21.32,52.88682059138069
74,27.170222970397667,8.842229426618978,1934867.6,1.0,10.30954934743782,21.28,53.131473325065336
75,26.799930123237203,8.638516878354407,1953503.7,1.0,10.576408992370657,22.4,53.36212130950214
76,26.43460170245204,8.439456429927278,1972323.36,1.0,10.849229001765318,21.24,53.59284804189142
77,26.050295388133648,8.238859688231788,1990973.2,1.0,11.137680561914378,22.26,53.821974608205075
78,25.672201753271505,8.044514937383049,2009477.48,1.0,11.43099839428873,22.34,54.04610219470282
79,25.312028331851103,7.858483992662981,2028187.12,1.0,11.72470226751166,22.7,54.261052323233706
80,24.945737517469187,7.673782088921221,2046947.56,1.0,12.031364941395239,22.84,54.475729421384386
81,24.58593888959472,7.493609891380876,2065929.9,1.0,12.344272131132378,23.12,54.683824232959935
82,24.230351924787193,7.319433998816279,2084500.84,1.0,12.662261919465145,22.78,54.88803675315805
83,23.886275568542757,7.15127781253916,2103219.58,1.0,12.983816336119334,23.5,55.08516951933396
84,23.52634353957566,6.980971878976849,2122063.84,1.0,13.325072097975536,23.82,55.285044726096
85,23.176511879049677,6.817218479322255,2140724.16,1.0,13.668612428414265,23.68,55.47750033118711
86,22.827153474780843,6.655933389302109,2159546.8,1.0,14.02437472753203,24.0,55.66926322545116
87,22.481215855672726,6.4989790627760655,2178183.86,1.0,14.386977959364295,24.38,55.85444344490855
88,22.14770994791006,6.346979416375722,2197261.04,1.0,14.755804991151553,24.54,56.03525906276201
89,21.812552407572092,6.19773367059655,2216120.62,1.0,15.134997426439352,24.94,56.21254789684319
90,21.46790750857578,6.048955583222657,2234751.34,1.0,15.531504022829292,24.98,56.38954668880834
91,21.140274425104813,5.90644840344766,2253741.4,1.0,15.930589356470257,25.66,56.560706243158954
92,20.81336869521026,5.76694600153377,2272565.08,1.0,16.340202956379507,25.52,56.728381611237616
93,20.489381908270857,5.630175133071922,2291536.64,1.0,16.7612525881804,25.34,56.892680640883235
94,20.175314445432594,5.497988795461072,2310661.68,1.0,17.188524420574414,25.7,57.05170400453868
95,19.862279252953883,5.369028384935223,2329449.28,1.0,17.625106543321,27.12,57.207342298435606
