NUM_STATION,THROUGHPUT,SUCCESS_RATE,COLLISION_RATE,NUM_TRANSMIT,ALPHA,NUM_FAIL,DELAY,CONTENTION_STATION_NUM,AVG_OCW,RU_COLLISION_RATE,RU_SUCCESS_RATE,RU_IDLE_RATE
1,12.05283964902131,100.0,0.0,100000.0,7.999999999999997,0.0,82.968,1.0,8.000244999999964,0.0,12.50000000000001,87.50000000000001
5,35.3078777359946,58.715234696374026,41.284765303625974,498920.6,3.9643990341095323,0.7031368559685653,141.61027319603286,5.0,11.40585528783408,12.023550000000043,36.61779999999969,51.358649999999216
10,37.327041751036546,41.088337784280384,58.911662215719616,753729.4,1.3919046655176754,1.4338204732958901,267.8922143461409,9.2,16.005982681741212,24.152000000000026,38.711874999999864,37.13612499999972
15,36.53420595892392,41.31774905599259,58.68225094400741,733624.2,0.7350268495834673,1.4203501679281156,410.5583731518362,11.2,16.78969525432734,23.267100000000163,37.889624999999526,38.84327499999946
20,36.23435541413557,41.34000043086026,58.65999956913974,727211.2,0.4858612891925045,1.4189316348507366,551.9080217708613,14.0,17.068512291258155,22.98362500000002,37.5786499999998,39.437724999999475
25,36.007713817375375,41.234572940176086,58.765427059823914,724510.4,0.3773736811564939,1.4251853251746749,694.2230537895254,16.4,17.230876142506037,22.882950000000257,37.34359999999954,39.773449999999436
30,35.850183203162665,41.222638049066255,58.777361950933745,721549.6,0.30157926531511275,1.4258994068526136,836.7077460408561,19.0,17.32542739456355,22.7631250000001,37.18022499999984,40.05664999999978
35,35.744166425609876,41.04583947978344,58.95416052021656,722514.6,0.2522218091231923,1.4362823279142778,979.0077634873039,21.0,17.42323078023454,22.83115000000005,37.070275000000116,40.09857499999974
40,35.711406807443836,41.22706368662856,58.77293631337144,718679.2,0.21885919782901514,1.4255573276507634,1119.8865446782133,23.8,17.428008356695948,22.636875000000092,37.03629999999989,40.326824999999765
45,35.68351653649599,41.12242339774355,58.87757660225645,719945.2,0.19317572902282948,1.431831377523021,1260.864811610624,26.4,17.485589814441038,22.688675000000273,37.007374999999925,40.303949999999986
50,35.57537845916498,41.01880980191451,58.98119019808549,719576.8,0.17172820673267503,1.4378853215023333,1405.1504537188932,28.8,17.52900903651357,22.703925000000265,36.89522499999961,40.400849999999615
55,35.60107511329669,41.01477127813517,58.98522872186483,720167.4,0.15512692249239643,1.4381202729634506,1544.5176089240588,31.0,17.556147207300487,22.714675000000323,36.92187499999975,40.36344999999962
60,35.576222157940414,40.93823358558831,59.06176641441169,721010.0,0.1412210976072767,1.4427363748122168,1686.0333877235985,33.8,17.590869496655195,22.76575000000002,36.89610000000002,40.33814999999972
65,35.54703018031048,40.763987015196605,59.236012984803395,723498.0,0.12973991345750932,1.4531714793787205,1828.0182474633336,38.0,17.648467743213484,22.892175000000098,36.865824999999894,40.241999999999344
70,35.466396683058534,41.52102319880875,58.47897680119125,708695.4,0.1203473561290815,1.408436957932811,1973.0210562055515,41.2,17.48067629323676,22.194725000000147,36.78219999999997,41.023074999999984
75,35.46902420210201,41.02664345902406,58.97335654097594,717288.4,0.11182451004320992,1.437460534425712,2113.8430285401614,44.4,17.6076115103922,22.606725000000104,36.78492499999959,40.60834999999951
80,35.4888872818436,40.968133390623116,59.031866609376884,718715.0,0.10434223154173217,1.4408918806047306,2253.394972856172,44.6,17.62941753532028,22.64867499999989,36.805525,40.54579999999977
85,35.48090830199595,40.96189192827087,59.03810807172913,718662.8,0.09797674050598489,1.4412999647828186,2394.8085244629256,49.2,17.640617591820966,22.651674999999905,36.79724999999974,40.55107499999982
90,35.39677948124578,40.865738026949614,59.134261973050386,718646.2,0.09235124242633343,1.4470633195564504,2541.5757549100217,52.2,17.664218827121594,22.697725000000197,36.71000000000017,40.59227499999979
95,35.41517211455019,40.88393967004417,59.11606032995583,718699.4,0.0872296401774933,1.4459664834888915,2681.3443670082215,55.0,17.67176589265187,22.67997500000007,36.72907499999964,40.59094999999958
100,35.4815832610163,40.86605446276717,59.13394553723283,720362.2,0.08271650918881099,1.4470317281339997,2817.0060671206747,59.4,17.673095357399482,22.726050000000193,36.797950000000036,40.47599999999945
