NUM_STATION,THROUGHPUT,SUCCESS_RATE,COLLISION_RATE,NUM_TRANSMIT,ALPHA,NUM_FAIL,DELAY,CONTENTION_STATION_NUM,AVG_OCW,RU_COLLISION_RATE,RU_SUCCESS_RATE,RU_IDLE_RATE
1,8.034808600906373,100.0,0.0,66663.2,0.5,0.0,124.45807385822623,0.8,8.0,0.0,8.332899999999968,91.66709999999917
5,26.191447304985054,73.31718727931015,26.682812720689853,296390.4,0.5,0.36393530175528016,190.90037395919416,3.6,9.493267653537448,4.750175000000043,27.16314999999999,68.08667499999953
10,33.89887667534471,55.05115542362013,44.94884457637987,510892.2,0.5,0.8165153459218443,294.9853621517981,8.0,11.63947618955324,13.082350000000073,35.156524999999746,51.76112499999981
15,36.03873782663195,44.71020891717183,55.28979108282817,668764.8,0.5,1.2366578429645916,416.19688393154803,10.6,13.912523072054919,20.26005000000012,37.37577499999948,42.36417499999973
20,36.357463118310676,38.106928412950616,61.893071587049384,791589.8,0.5,1.6242011306612265,550.0418612894566,14.0,16.195939433759385,26.013674999999854,37.70632499999971,36.27999999999954
25,35.937903770128244,33.46569800397774,66.53430199602226,890971.2,0.5,1.9881949119107056,695.5717426586891,17.8,18.450519006358828,30.708925000000185,37.271199999999986,32.01987499999999
30,35.29196798765789,30.021135816281713,69.97886418371829,975347.8,0.5,2.3309407663094204,849.9220029825981,21.6,20.629927742365272,34.58042499999975,36.601299999999526,28.81827499999997
35,34.56267476617491,27.327896890832555,72.67210310916744,1049329.0,0.5,2.659362266567871,1012.4678927706622,24.0,22.7178021359596,37.911949999999834,35.84494999999957,26.24310000000002
40,33.71507087069713,25.0705706006046,74.9294293993954,1115758.6,0.5,2.9890879559639236,1186.206348117569,29.2,24.738555489499014,40.87154999999992,34.96589999999999,24.16255000000008
45,32.87976087166136,23.18908029065791,76.81091970934209,1176402.0,0.5,3.3126697907010403,1368.2973656681006,31.8,26.676887551352632,43.4847749999999,34.09960000000007,22.415624999999956
50,32.07528203644779,21.584599591705178,78.41540040829483,1232925.6,0.5,3.633107453907376,1558.4507629180075,35.2,28.52873814987803,45.85759999999972,33.26527499999959,20.87712500000017
55,31.224592614019866,20.14220738338745,79.85779261661256,1286175.8,0.5,3.9648993500318115,1760.8634209764884,39.0,30.31575206004684,48.057974999999615,32.383024999999655,19.559000000000133
60,30.431588082152153,18.88800809915332,81.11199190084668,1336746.6,0.5,4.294579836742431,1970.994487403099,42.2,32.00807584676812,50.07464999999966,31.560599999999916,18.364750000000004
65,29.647695497059107,17.752278399392374,82.24772160060763,1385630.2,0.5,4.633671272161398,2191.5980369600775,45.8,33.633633933633924,51.992424999999415,30.747625000000244,17.259950000000025
70,28.894899238260535,16.727982729974535,83.27201727002546,1433138.6,0.5,4.9790587077796316,2421.591655546936,49.2,35.18148798325514,53.760624999999685,29.966900000000027,16.272475000000085
75,28.141428020441616,15.783551259130979,84.21644874086903,1479285.6,0.5,5.336202309577485,2663.9348196549663,53.0,36.6607744517273,55.44529999999982,29.185475000000118,15.369225000000029
80,27.39017452511812,14.91578451712661,85.08421548287339,1523559.0,0.5,5.704741087068309,2919.422697739425,56.4,38.09224389139443,57.03047499999985,28.40635000000027,14.56317499999995
85,26.633858837142032,14.095966087585941,85.90403391241406,1567652.6,0.5,6.094769162249644,3189.7542357869743,61.8,39.462620875877214,58.58654999999951,27.621974999999917,13.791474999999966
90,25.912641018223894,13.340787301202528,86.65921269879748,1611539.0,0.5,6.4965113059013975,3471.2958993019784,63.6,40.76200391690218,60.077875000000006,26.873999999999835,13.048124999999965
95,25.203500144634074,12.636616809354335,87.36338319064566,1654781.2,0.5,6.914072690586339,3767.073263149325,68.0,41.98974119302555,61.51047499999969,26.138550000000244,12.350974999999973
100,24.482812650660495,11.966378803817845,88.03362119618215,1697497.2,0.5,7.357136137930091,4081.881737683376,72.0,43.1921072128205,62.88564999999969,25.39112500000018,11.723224999999967
