NUM_STATION,THROUGHPUT,SUCCESS_RATE,COLLISION_RATE,NUM_TRANSMIT,ALPHA,NUM_FAIL,DELAY,CONTENTION_STATION_NUM,AVG_OCW,RU_COLLISION_RATE,RU_SUCCESS_RATE,RU_IDLE_RATE
1,9.904128040567308,100.0,0.0,100000.0,1.0,0.0,100.968,1.0,8.0,0.0,12.500000000000012,87.49999999999989
5,31.403731875445686,89.76158733030881,10.238412669691186,353243.8,1.0,0.29622276267964337,100.968,4.6,11.37649655171563,0.28801308531745756,12.500000000000012,87.49999999999989
10,42.20935345852151,82.10504561932186,17.894954380678143,519065.8,1.0,0.5926420168478955,100.968,6.2,15.441598006411065,0.43855304070929374,12.500000000000012,87.49999999999989
15,47.39271848506458,76.6861496509206,23.313850349079402,623991.4,1.0,0.8521411969828373,100.968,7.0,18.91619932131143,0.4877047748968,12.500000000000012,87.49999999999989
20,50.26663893510815,72.36416089692685,27.635839103073153,701358.6,1.0,1.0958874861515882,100.968,9.2,21.920600533268928,0.5023465844391116,12.500000000000012,87.49999999999989
25,51.9214602646383,68.76864075151067,31.231359248489326,762325.0,1.0,1.332276004000858,100.968,8.4,24.55523803097434,0.5010803303369677,12.500000000000012,87.49999999999989
30,52.871484034545595,65.647197084731,34.352802915268995,813184.4,1.0,1.563971733134487,100.968,9.4,26.908745590104218,0.4943656038144734,12.500000000000012,87.49999999999989
35,53.30118453371365,62.777813031993716,37.222186968006284,857263.8,1.0,1.797563210438581,100.968,10.2,29.036453468163806,0.48638972950936665,12.500000000000012,87.49999999999989
40,53.477794944933045,60.249864602094306,39.750135397905694,896192.2,1.0,2.0318442518446416,100.968,10.8,30.96165619134706,0.4759589121688495,12.500000000000012,87.49999999999989
45,53.32374613739006,57.81473178398513,42.18526821601487,931249.4,1.0,2.2720570724009326,100.968,11.4,32.73965397847039,0.4667489862089165,12.500000000000012,87.49999999999989
50,53.090999128436735,55.71089311508872,44.28910688491128,962198.4,1.0,2.512653453474846,100.968,11.0,34.348259078517955,0.45532694250841405,12.500000000000012,87.49999999999989
55,52.70935345852151,53.660947641693404,46.339052358306596,991775.0,1.0,2.7589167576160394,100.968,12.6,35.85413637916756,0.4454765921241184,12.500000000000012,87.49999999999989
60,52.24074954441011,51.744223689796286,48.255776310203714,1019368.8,1.0,3.010142875114378,100.968,13.2,37.239024639835236,0.4360072319267501,12.500000000000012,87.49999999999989
65,51.6785912368275,49.92578767722355,50.07421232277645,1045128.4,1.0,3.2705313046873625,100.968,13.8,38.54326507342163,0.42719704346826026,12.500000000000012,87.49999999999989
70,51.110431027652325,48.23076827738999,51.76923172261001,1069964.2,1.0,3.5338860869535376,100.968,15.2,39.74203786133492,0.4181486981448215,12.500000000000012,87.49999999999989
75,50.44017906663497,46.555571632009354,53.444428367990646,1093928.0,1.0,3.8083394020843415,100.968,12.0,40.8879808889479,0.41043068115519327,12.500000000000012,87.49999999999989
80,49.77614689802711,45.007972411008,54.992027588992,1116646.4,1.0,4.088196635962854,100.968,16.0,41.938765301691866,0.4025652947589604,12.500000000000012,87.49999999999989
85,49.10963869740908,43.58140718120582,56.41859281879418,1137756.4,1.0,4.373690312743493,100.968,15.8,42.93113449864341,0.3943967025181173,12.500000000000012,87.49999999999989
90,48.33630457174551,42.0668153925416,57.9331846074584,1160159.4,1.0,4.6760825912432855,100.968,17.4,43.88594610809105,0.38818116344984466,12.500000000000012,87.49999999999989
95,47.642243086918626,40.742065683034205,59.257934316965795,1180682.0,1.0,4.977175122645933,100.968,16.0,44.75291288112648,0.381114638253924,12.500000000000012,87.49999999999989
100,46.85349813802393,39.38350554058125,60.61649445941875,1201189.4,1.0,5.29805400918614,100.968,14.8,45.60109656067893,0.3751663799067645,12.500000000000012,87.49999999999989
